"artists","Count"
"Danny Ocean",581
"C.Gambino",577
"Alex Botea",575
"OneRepublic",575
"Arthur Nery",563
"Piso 21, Manuel Turizo",562
"Skryptonite",561
"Creepy Nuts",560
"ZICO, JENNIE",559
"Eladio Carrion",558
"fellow fellow",558
"Dadju, Tayc",555
"Simone Mendes",553
"Boza",552
"Renn, Yexel",551
"Tuna",549
"Hindia",547
"Dei V",546
"DESH",545
"Mert Demir",545
"YSY A, Bhavi, Milo j",542
"John Lennon, Yoko Ono",541
"Ramy Sabry",541
"Bhavi, Seven Kayne, Milo j, Tiago PZK, KHEA, Neo Pistea",540
"Lewis Capaldi",540
"Alok, Mondello'G, CERES, Tribbs",539
"Nadin Amizah",536
"Roxy Dekker",536
"Yuuri",536
"D1MA",535
"MEYOU",535
"Cris Mj, Dei V",534
"Henry Moodie",534
"Charli xcx, Billie Eilish",532
"Ryan Castro, Peso Pluma, SOG",531
"James Arthur",530
"Luck Ra, Abel Pintos",530
"Chris Rea",529
"卢卢快闭嘴",528
"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",527
"Mitraz",520
"Shakin' Stevens",518
"5mewmet",517
"Eslam Kabonga",516
"Darkhan Juzz",515
"Tzanca Uraganu",515
"Gaby Music, Lunay, Luar La L",514
"Zerb, Sofiya Nzau",514
"Bizarrap, Natanael Cano",511
"Young Leosia, bambi, PG$, francis",511
"Nemo",509
"Future, Metro Boomin",508
"Grupo Frontera, Manuel Turizo",507
"The Weeknd",506
"Tainy, Bad Bunny",505
"Camila",503
"FloyyMenor, Lewis Somes",502
"Muhab",499
"Troye Sivan",499
"Vishal Mishra",499
"Humlan Djojj, Josefine Götestam",494
"Mirrr",494
"Peggy Gou",494
"告五人",492
"Gleb",490
"ヨルシカ",490
"Fujii Kaze",486
"The Kolors",486
"OFFICIAL HIGE DANDISM",485
"Ghea Indrawari",480
"Los Ángeles Azules, Emilia",480
"Prabh Singh, Jay Trak, Rooh Sandhu",480
"Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura",478
"Emanero, Karina, j mena, Angela Torres",473
"Monetochka",472
"Pritam, Arijit Singh, Irshad Kamil",472
"GIMS, DYSTINCT",470
"JIN",470
"Hanumankind, Kalmi",468
"Isabel LaRosa",467
"King",467
"Tzanca Uraganu, Manele Mentolate",467
"Angelina Mango",466
"Draganov",463
"Lvbel C5",462
"NEWLIGHTCHILD",462
"DJ Tao, Roze Oficial",457
"Parfeniuk",457
"El Turko, Mandale Flow",456
"HIEUTHUHAI",455
"Rob Deniel",455
"Drake, J. Cole",451
"Omah Lay",450
"Sky Rompiendo, Feid, Myke Towers",450
"Bo9al",449
"UNDERGRUNN",448
"Murilo Huff",447
"Hins Cheung",446
"Gabito Ballesteros, Natanael Cano",444
"Sadraddin",444
