"artists","Count"
"Edvin Törnblom",20
"El Chuky De Lewa",20
"El Sicokario 42",20
"Fiorella Mannoia",20
"Gabrielius Vagelis, gintė",20
"Gaby Music, Anuel AA, Luar La L, Lunay, Bryant Myers",20
"GloRilla, Megan Thee Stallion",20
"Guzior, Kuban",20
"Gülşen",20
"Ingrid Michaelson, Grace VanderWaal",20
"J Daly, Pio el titoki",20
"Jere Klein, Marcianeke, DONNER",20
"Keane",20
"Leo Dan, KEVIN ROLDAN",20
"Luciano, Mario",20
"Mohammed Bin Grman",20
"NAZAKEBLACK, Naza, KeBlack",20
"NJ, BABY JEAN, Dabzee, Rzee",20
"NJ, Dabzee, BABY JEAN, Rzee",20
"New Edition",20
"OLLIE",20
"Omy de Oro, Nio Garcia",20
"P!nk",20
"Ponko, Hamza",20
"Rush",20
"Rvfv, Morad",20
"Ryan Castro, Arcángel",20
"Shiraz Uppal, Rafaqat Ali Khan",20
"Sini Sabotage",20
"Smilers",20
"Tracy Chapman",20
"VJ",20
"Wang, 12os Pithikos, Mateos Nps",20
"Whitney Houston",20
"Yzomandias, Separ, Viktor Sheen, Nik Tendo, Karlo, P T K",20
"Zé Vaqueiro",20
"две тысячи ярдов",20
"A.V.G, MACAN",19
"Aarne, Yanix",19
"Adam Mišík, Rohony",19
"Alvaro Diaz, Nsqk",19
"Aniceto Molina",19
"Balqees",19
"Beny Jr",19
"Big Baby Tape, ALBLAK 52",19
"Billkin, PP Krit",19
"Bob Marley & The Wailers",19
"Braulio Fogon, NTG",19
"Casper Magico, Anuel AA, iZaak, Luar La L",19
"DIVOKEJ BILL",19
"Danial Kifli",19
"Eladio Carrion, Nach",19
"Furelise",19
"Geolier, Shiva, MACE",19
"Grupo 5",19
"Gurnazar, Chet Singh",19
"Hael Husaini",19
"KAROL G, Ovy On The Drums",19
"KEVIN ROLDAN, Dani Flow, Mauro Dembow",19
"Kendji Girac, Vianney",19
"Ladaniva",19
"M.H.R, JOKER390P, SA, Dabzee",19
"Ninho, Central Cee",19
"Oki, Bedoes 2115",19
"Peter Fox, reezy",19
"Pretenders",19
"RICTA, Night Grind",19
"Robin Packalen, Ege Zulu",19
"Ruger",19
"SCARLET",19
"Sadiq Hussain",19
"Shimmi",19
"Totally Nothin, DJ Kadr",19
"Yan Block, Panda Black",19
"Yandel, Myke Towers",19
"Yeison Jimenez",19
"sangiovanni",19
"¥$, Kanye West, Ty Dolla $ign, Bump J",19
"מ'",19
"张韶涵",19
"ALEX CALDAZ",18
"Aerozen, Ian",18
"Arab, Tr4cer",18
"Aza, Azahriah",18
"BLANCO, Mina",18
"CA$HANOVA BULHAR, Patrik Love ICY L",18
"Clicherik & Mäx",18
"DAVI, VJ",18
"DJ PIMI",18
"DK, TheBrianMaps",18
"Daniil, Floni",18
"Diodato",18
"El Chuky De Lewa, Yomel El Meloso, Kaly Ocho, Kreizy k",18
"Fat Mizzo",18
"Gwen Stefani, Blake Shelton",18
"Gzuz, Bonez MC",18
"Haqiem Rusli",18
"Il Pagante, VillaBanks",18
"Israel & Rodolffo",18
"Jasleen Royal, B Praak, Romy, Anvita Dutt",18
"Kamelen",18
"Karencici",18
"Katya Lel",18
"Ken Carson",18
"Kerchak, Killemv, Ziak",18
"LON3R JOHNY",18
"Luca-Dante Spadafora, Beats by Luca",18
"Lucky Brown, Ness",18
"MANBO, HIEUTHUHAI, HURRYKNG",18
"MC Maneirinho, MC Tigrão, Mc Luan, DJ Arana",18
"Macias, White Widow",18
"Mahmoud El Esseily, Aly Fathalla",18
"Maria Sur",18
"Mc Einar",18
"Melody, Naldo Benny, Matheus Alves",18
"Mon Laferte",18
"Mora, Jhayco",18
"Mykola Dmytrovych Leontovych, John Williams",18
"Olli Halonen",18
"Otsochodzi, lohleq, Kusha, Suwal",18
"Robi, Aerozen, Ian",18
"Siggi Pálma, Pálmi Gunnarsson",18
"Sálin hans Jóns míns",18
"TLC",18
"Taco Hemingway, Daria Zawiałow, Zeppy Zep",18
"Tiagz, Fuerza Regida, El Alfa",18
"Tml Vibez",18
"Trap19 Connection, FYRE",18
"Tyler ICU, DJ Maphorisa, Masterpiece YVK, Ceeka RSA, M.J, Silas Africa, Al xapo",18
"Vitor Amaral",18
"Wande Coal",18
"Xenia",18
"Yo Asel, Draganov, Abduh",18
"Yovie Widianto, Lyodra",18
"säm",18
"vkie, Gmeniu",18
"william, ibe",18
"Żabson, Kronkel Dom, Kizo, Sir Mich",18
"Akashdeep Sengupta, Laqshay Kapoor, Kausar Munir, Suvarna Tiwari",17
"Alex Sensation, Dj Adoni, Jeon, Kiko el Crazy",17
"Antonie Eyries",17
"Aslak Trude",17
"Baby Gang, Simba La Rue, J Lord",17
"Baby Melo",17
"Bröderna Öhman",17
"Clovis Reyes",17
"Céline Dion",17
"Drogu",17
"Eight O, Nik Tendo",17
"Eloff",17
"Fred De Palma",17
"Hanne Krogh",17
"Harry Cane, Master KG, DJ Latimmy, Eemoh",17
"Hawk, Saske, X ORFEAS",17
"Ian, Aerozen",17
"KEiiNO",17
"Karan Aujla, DIVINE",17
"Kelvin Momo, Sjava",17
"Kinderen voor Kinderen",17
"Käärijä, Tommy Cash",17
"Los Bunkers",17
"Margaret, The Voice Of Poland 2015 Finalists",17
"Marwan Pablo, A.L.A",17
"Misshmusic, KKevin",17
"Mixer",17
"Niky Savage, Simba La Rue",17
"Nimo",17
"OLAS, Esmeralda, MarkMate",17
"Olexesh, Bonez MC",17
"Otsochodzi, Oki, lohleq",17
"Pariisin Kevät",17
"Pastor Lopez Y Su Combo",17
"Pritam, Arijit Singh, Nikhita Gandhi, Amitabh Bhattacharya",17
"Rap La Rue, Aymen",17
"Rasmus Gozzi, FRÖKEN SNUSK, DANJAL",17
"Reykon, ElMalaFama, Neeus",17
"Sal Da Vinci",17
"Slowboy, IVOXYGEN, zaichkou888",17
"Sobel, Oki, Deemz, Magiera, PSR",17
"Sonu Nigam, Harshavardhan Rameshwar, Raj Shekhar",17
"The Local Train",17
"Tiago PZK",17
"Tiago PZK, Anitta, Emilia",17
"Tream, FiNCH",17
"Uji Rashid, Hail Amir",17
"Yo Yo Honey Singh, Rony Ajnali, Gill Machhrai",17
"Ziferblat",17
"badmómzjay, Kool Savas",17
"emma & matilda",17
"william, Averagekidluke",17
"Angham",16
"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",16
"Ariana Grande, Nonna",16
"Aruma",16
"Avenged Sevenfold",16
"Beyoncé, Linda Martell, Shaboozey",16
"Bulin 47, Myke Towers",16
"Bvcovia, Lil Manzi, RENVTØ",16
"CHRIST",16
"Ceasar DD, Adel",16
"Ceeka RSA, Tyler ICU, LeeMcKrazy, Khalil Harrison",16
"Charlie Puth",16
"Cheb Nassim, Tchikou 22",16
"Chencho Corleone, Peso Pluma",16
"Chris Jonex, Buxxi",16
"DJ Zigão, Mc Rodrigo do CN, DJ Lafon Do Md, Mc Rf",16
"DMT, Dangrangto, TeuYungBoy, summerdayy",16
"DUMI, melix, Nimirzlo",16
"DYSTINCT, Naza, Unleaded",16
"Darshan Raval, Jonita Gandhi, Rochak Kohli",16
"De Su",16
"Dominika Mirgova",16
"EXO",16
"El Alfa, Black Jonas Point",16
"El Alfa, Donaty, Fuerza Regida",16
"ElMusto, Organize",16
"Eminem, Dem Jointz, Sly Pyper",16
"Hadise",16
"Ikuinenkesä",16
"Ishay Ribo",16
"J. Cole, Ari Lennox, Young Dro, Gucci Mane",16
"JAS",16
"James Reid",16
"Jesse Markin",16
"KKevin, DESH, Young Fly",16
"Kabza De Small, DJ Maphorisa, Njelic, Young Stunna, Nkosazana Daughter, Xolani Guitars",16
"Kerchak, Ziak",16
"Kill Eva, ENCASSATOR",16
"LH, Italian Somali, Robi Guid, SMILE BEATS, Johnny Jey B",16
"LISA, ROSALÍA",16
"La Fève",16
"Laaawwd",16
"Lauty Gram, Roze Oficial, Fauna Music",16
"Lijpe",16
"Los Hermanos Flores",16
"Luca Brassi10x, Nina Janova, AstralKid22, Shimmi",16
"Massimo Pericolo",16
"NAMEDARUMAAZ",16
"Newkid, Naod",16
"Niyi, Crossdaboss, JaySynths",16
"PLK, Hamza",16
"RAVEBASE",16
"Rafet El Roman",16
"Rahimah Rahim",16
"Ramón",16
"Sajfer, Jala Brat, Buba Corelli",16
"Samuel G, Oscar el Ruso, Aissa, Nickzzy, Juseph, Samueliyo Baby",16
"Shahri",16
"Switch2smile, Sarah Ann",16
"T-Rex",16
"TIM PLVNK",16
"Tito Double P, Joel De La P, Luis R Conriquez",16
"Tommy Körberg",16
"Trettmann, RIN",16
"Victor Mendivil, Oscar Maydon",16
"VillaBanks, Ernia, Emis Killa, Niky Savage, Andry The Hitmaker",16
"Vince Guaraldi Trio",16
"White 2115",16
"Yaşar",16
"Yonatan Kalimi",16
"Young Leosia, PSR",16
"Zach Bryan, Maggie Rogers",16
"Zahara",16
"ريفو شو",16
"23",15
"Aarne, BUSHIDO ZHO, Liza Evans",15
"Aarne, NLE Choppa, Imanbek",15
"Adam Woods",15
"An-Marlen",15
"Ariis",15
"Asster, BarTie",15
"Aste, T Swoop, Nelli Orell",15
"Celo & Abdi, Summer Cem, Nimo",15
"Central Cee",15
"Chayanne",15
"Chimbala, Mestizo Is Back",15
"DJ Maphorisa, Shebeshxt, Xduppy",15
"Dato' Sudirman",15
"Dominika Mirgova, Anita Soul, Monika Bagarova",15
"Eslam Kabonga, Miso misara",15
"FC Baseball",15
"Fuego, Tivi Gunz",15
"Gabito Ballesteros, Peso Pluma",15
"Gal Adam, NOROZ",15
"Gala",15
"Gene Autry",15
"Gibbs, Szpaku, Jonatan, 4Money",15
"Gusttavo Lima, George Henrique & Rodrigo",15
"HIEUTHUHAI, Negav, Kewtiie",15
"Hawk",15
"Helena Sams",15
"Henry Freitas",15
"IDK, Satra B.E.N.Z.",15
"Ian, Amuly",15
"Jamaika, Branco, Carmon",15
"Jerry Heil, Volodymyr Dantes",15
"Jung Kook, BTS, FIFA Sound",15
"Justin Timberlake",15
"Kain, ekhoe, Pogány Induló",15
"Katerina Lioliou",15
"KayBlack, Marquinho no Beat, Wall Hein",15
"Kubi Producent, Szpaku, Tulia",15
"Kukon",15
"Lil Kleine, Mula B, $hirak",15
"M. Nasir",15
"MART!N",15
"MERO",15
"Maneva, Juliette",15
"Maoli",15
"Mula B",15
"OG Buda, Egor Kreed, Доминик Джокер",15
"Offset, Travis Scott",15
"Querbeat",15
"Russo",15
"Shreya Ghoshal, Devi Sri Prasad, Raqueeb Alam",15
"Silahsız Kuvvet",15
"Sto zvířat",15
"Suspekt, Rune Rask",15
"Szpaku, Kubi Producent",15
"TARAS",15
"TOBIAS SMITH",15
"Thiago e Samuel, Simone Mendes, Os Parazim",15
"Triantafillos",15
"Ufo361",15
"Umair, Talha Anjum",15
"V:RGO, Boro Purvi, Krisko",15
"Vale Pain, Bobo, Artie 5ive",15
"Vargas",15
"Young Leosia, Jonatan",15
"Zed, Nekfeu",15
"Три дня дождя, polnalyubvi",15
"анастимоза",15
"21 Savage, Burna Boy, Metro Boomin",14
"AMEE, RPT MCK",14
"ANNA, Sfera Ebbasta",14
"Aimee Carty",14
"Amaal Mallik, Arijit Singh, Tulsi Kumar",14
"Anne Heinz, MART!N",14
"Annika Wickihalder",14
"Artigeardit",14
"B10, Kilvertz",14
"BEGE",14
"Bausa, LEA",14
"Beach Weather",14
"Beton.Hofi, KizzaPing69",14
"Calin, Satoshi",14
"Capo Plaza, Tony Boy",14
"Charm Holic",14
"Cris Valencia, El High",14
"Dafina Zeqiri, Yll Limani",14
"Dillaz, Zeca, Tiwi",14
"Ebru Gündeş",14
"Eminem, Skylar Grey",14
"Emmanuel Kelly",14
"Emre Nalbantoğlu",14
"Etta, Turisti",14
"Frank ""El Santo""",14
"Fy, Light, Trannos",14
"Gajendra Verma",14
"Geolier, Dat Boi Dee, Poison Beatz, Geenaro & Ghana Beats",14
"Gettomasa, Kube, Justsesomali",14
"Guðrún Árný, Íslensku dívurnar",14
"Hades66",14
"Hassan Shakosh, Hamo Bika",14
"HoodBlaq",14
"Ian, Bvcovia",14
"JEON SOMI",14
"Jhayco, Bryant Myers, Luar La L",14
"Jóhanna Guðrún",14
"Kaique e Felipe, Luan Pereira",14
"Kali Uchis, KAROL G",14
"Kidjaywest, Talwiinder, Ikath",14
"LOMIIEL",14
"Lola Indigo, Maka",14
"Low G, Anh Phan, bbno$",14
"MADE, Accaoui",14
"MAS, KESI",14
"MC Cabelinho",14
"MC PH, Vulgo FK, Veigh, Pedro Lotto, Eros",14
"Majki, Mario Dracula",14
"Maxwell, RAF Camora, Bonez MC",14
"Meiska",14
"Mikael Gabriel",14
"Negramaro",14
"Nicki Nicole, Bad Gyal",14
"Noman Ali Rajper, Babar Mangi, Marvi-Sahiban",14
"OG Version",14
"Olamide, SABRI",14
"Oscar Maydon, Grupo Marca Registrada",14
"PLK, TIF",14
"Prāta Vētra",14
"Pyrythekid",14
"REC",14
"Rajieen, Saif safadi, Dana Salah, Ghaliaa, Afroto, NORDO, Shroof, A5rass - الاخرس, Issam Alnajjar, Balti, Amir Eid, Wessam Qutob, Dina El Wedidi, Bataineh, Omar Rammal, Alyoung, Randar, Vortex, Smallx, A.L.A, Fuad Gritli, Donia Wael, zeyne, Marwan Moussa, Marwan Pablo, Dafencii",14
"Red Hot Chili Peppers",14
"Rytmus, Mega M, Bobby blaze",14
"Sachin-Jigar, Jasmine Sandlas, Amitabh Bhattacharya",14
"Sadam, Dof Twogee",14
"Sadam, HGEMONA$, Mike G",14
"Safeplanet",14
"Salmo, Noyz Narcos, Coez, Frah Quintale",14
"Salmo, Noyz Narcos, Kid Yugi",14
"Sexmane, MELO",14
"Skryptonite, FEDUK",14
"Sky Rompiendo, Rauw Alejandro",14
"Summer Cem, BILLA JOE",14
"THRILL PILL, Toxi$",14
"Taco Hemingway, Otsochodzi, Zeppy Zep",14
"Tedua, Izi, Disme, Bresh, Vaz Tè",14
"Tedua, Tony Boy",14
"The Hatters",14
"Tiago PZK, Manuel Turizo",14
"Timal",14
"Toby Keith",14
"Tony Camargo",14
"Travis Scott, SZA, Future",14
"Tussin, Aerozen",14
"Udit Narayan, Alka Yagnik, Anu Malik, Javed Akhtar, Lijo George-Dj Chetas",14
"Usama Ali, Ahad Khan",14
"VIVIZ",14
"Valentino Merlo, Q' Lokura",14
"Volodymyr Dantes",14
"Voskresenskii, Krishtall ZHS",14
"WOS, Indio Solari",14
"Werenoi, SCH",14
"Wiesulis, sangvn, Marko",14
"Yade Lauren",14
"Úlfur Úlfur, Herra Hnetusmjör",14
"เมนทอล",14
"7hvrdx",13
"AKC Misi",13
"ANH TRAI ""SAY HI"", Quang Hùng MasterD, Negav, Công Dương, Nicky",13
"Afsana Khan",13
"Albin Tingwall",13
"Amy Winehouse",13
"Artigeardit, KESI",13
"BCA, Jorkan, T.O.T",13
"Biigo",13
"Chinaski, Katarina Knechtova",13
"Chiquito Team Band",13
"Czerwone Gitary",13
"DEHA INC.",13
"DIBSET, Tessa",13
"DIFF, Greco Beats",13
"Dalyb, WEN",13
"Davido, FAVE",13
"Dawid Podsiadło",13
"Deejaykgosi, Baby Momo, Lington, Zee_nhle, iam.psalm, Phemelo Saxer",13
"DobleP, Lauty Gram, Matt Sebastian",13
"E6",13
"El Chulo, Dany Ome, Wampi, Kevincito El 13, Dj Alex, Lex White",13
"Ethismos, Melow",13
"FM95BLÖ, Steindi Jr., Sverrir Bergmann",13
"Fred again.., Lil Yachty, Overmono",13
"Gemitaiz",13
"Gruppa Skryptonite, Therr Maitz",13
"Gusttavo Lima, Mari Fernandez",13
"HAZUK FENDI",13
"Ice Spice, Rema",13
"Ivan Greko, BeTaf Beats, Saxpas",13
"J. Cole, Cam'ron",13
"Jamule, Sido, Miksu / Macloud",13
"Jazzu, Gamka",13
"Joshy Tripp",13
"KOJO, Calin",13
"Kidd Voodoo, DrefQuila, Young Cister, Easykid, Swift 047, LOS 4F",13
"Lil Wuyn, 16 BrT, 16 Typh",13
"Lucianoz",13
"Mads Christian",13
"Mapei",13
"Martin Brygmann, Sarah West",13
"Matheus & Kauan, Maiara & Maraisa",13
"Matoma, Jonas Benyoub, Hver gang vi møtes",13
"Matt Sassari",13
"Mau y Ricky, Guaynaa",13
"Monique",13
"Mortal, Jonatan",13
"Murilo Huff, Wesley Safadão",13
"My Marianne, Jonathan Johansson",13
"Nerd Connection",13
"Nerieš, Peter Pann",13
"Oscar, M.G.L., RAVA",13
"Otis Redding",13
"Pcee, Officixl RSA",13
"Peter Nagy, Jano Bocko",13
"Ray Parker Jr.",13
"Rytmus, Loko Loko",13
"SAIKO, Mora",13
"Sadturs, KIID, Artie 5ive, Niky Savage",13
"Silia Kapsis",13
"Steindi Jr., Auddi, Overtune",13
"Stormy, Inkonnu",13
"Stormy, Miraa May",13
"Ufo361, lucidbeatz",13
"Uralxlr",13
"Vesa-Matti Loiri",13
"Voskresenskii, Wipo",13
"Yalın",13
"Yoga Lin",13
"Youssef Swatt's",13
"Zartmann",13
"lucidbeatz, Souly",13
"mgk, Jelly Roll",13
"ЛИТВИН",13
"$uicideboy$",12
"01099, Paul, Ski Aggu",12
"A-Reece, M.anifest",12
"ALBLAK 52, kizaru",12
"Alles Kids, Sinterklaasliedjes Alles Kids, Kinderliedjes Om Mee Te Zingen",12
"Aron Can, Daniil",12
"Asster, Kabe, Worek, clearmind",12
"B.K.W.H",12
"Baby Gang, Higashi",12
"Bloody Hawk, Dani Gambino",12
"CAPO, Summer Cem",12
"Clayton & Romário, Hugo & Guilherme",12
"Da.Loca and Melo",12
"Dana Hourani, Deny K",12
"Datuk Sharifah Aini",12
"Dayangku Intan",12
"El Alfa",12
"Elastinen, Käärijä",12
"Erik Follestad, Linni Meister",12
"Figa Flawas",12
"Finesse, Shiva, Sfera Ebbasta, Guè, Drillionaire",12
"Foreign Teck, Eladio Carrion, De La Ghetto, Wisin",12
"Future, The Weeknd",12
"Gordo, Drake",12
"Grebz",12
"Greeicy",12
"HENN",12
"Herra Hnetusmjör, Friðrik Dór, Þormóður",12
"J Daly",12
"J.Sheon, 瘦子E.SO",12
"Jithin Raj",12
"Joey Yung",12
"Juan Luis Guerra 4.40",12
"Jul, Alonzo",12
"KAROL G, Maldy",12
"Kid Yugi, Ernia",12
"Kreizy k, Yaisel LM",12
"LIBERATO",12
"Libianca",12
"Lisa Ajax",12
"Lobo, Mente Fuerte, Giorgos Orfanidis",12
"Logos Timis, Sumo Beats, Koraki, Eleuthero Pneuma, Sativa, Tokesick",12
"Lojay, Olamide",12
"Luca Brassi10x, Mjay Beatz",12
"Līvi",12
"Mango",12
"Marie Rottrova",12
"Matuê",12
"Mensa, SRNO, Young Ellens, Anthony Kruijver",12
"Neima Ezza, Simba La Rue, Nko",12
"Nerieš, Separ",12
"Nitro, Madame",12
"Noah Cyrus",12
"Ovy On The Drums, Quevedo, Yandel",12
"PRODUCE 101 JAPAN THE GIRLS",12
"Popek, Razgonov, Pablo",12
"Puan Sri Saloma",12
"Rene Rodrigezz, Maxim Schunk",12
"Rhove, Sfera Ebbasta, Jul",12
"Robi Guid, Lh Da Produzza",12
"Robin Zoot, Viktor Sheen, Resetedh",12
"Rodolfo Aicardi, Los Hispanos",12
"SAIKO, DELLAFUENTE",12
"SAIKO, Feid, Quevedo, Mora",12
"SHERRY",12
"Saske, Sigma",12
"Seyi Vibez, Tml Vibez, ODUMODUBLVCK",12
"Sido",12
"Sobel, Magiera",12
"Solven, Hysaze, RVPTR",12
"The Pogues",12
"Tz da Coronel, Ryu, the Runner, Nagalli, Cúpula",12
"Vicco",12
"White 2115, Pedro",12
"XINDL X",12
"makko, lucidbeatz",12
"nkeeei, uniqe, ARTEM SHILOVETS, SODA LUV",12
"Överi, william",12
"Øneheart, Antent",12
"Øneheart, ashess",12
"23, C.Gambino",11
"58G",11
"6PM RECORDS, Yung Hurn, Stickle",11
"6YNTHMANE, RXDXVIL",11
"7liwa, ElGrandeToto",11
"AL SHAMI",11
"ANH TRAI ""SAY HI"", HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL, Orange",11
"ANH TRAI ""SAY HI"", Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương, Lâm Bảo Ngọc",11
"ANNA, Sillyelly",11
"AOUR, Leti",11
"Aarne, Big Baby Tape, BUSHIDO ZHO",11
"Aden Foyer",11
"Aliisa Syrjä",11
"Armez",11
"Armonia 10",11
"Arop",11
"Asim Azhar, Talha Anjum",11
"Bailey Zimmerman",11
"Ballinciaga, David Mokel",11
"Batuflex",11
"Bb trickz, Kevin AMF",11
"Beton.Hofi, ANUBII$, Pogány Induló, VZS",11
"Beton.Hofi, ajsa luna, Hundred Sins, Beatrick",11
"Bruno & Marrone, Zé Felipe, Mc Jacaré, Loirin prod",11
"ClubDub, Birnir",11
"Coez",11
"Cristian D, KM, $hirak",11
"DOLLA",11
"DYSTINCT, MHD, YAM",11
"Dato' DJ Dave",11
"Deejaykgosi, Baby Momo, Lington, Phemelo Saxer, Zee_nhle, iam.psalm",11
"Dept, Ashley Alisha",11
"Dewa 19, Yura Yunita",11
"Don Xhoni, Gzuz",11
"Drei, It's Different, Lito Kirino, 24hrs",11
"Duki",11
"DĖMI, slimedemidemislime, Madman Stan",11
"Einár",11
"Eivør",11
"Elastinen, Jami Faltin",11
"FRIENDLY THUG 52 NGG, kizaru",11
"Fabian Mazur",11
"Farid Bang",11
"Farina, El Alfa",11
"Foo Fighters",11
"Fred & Fabrício, Traia Véia",11
"Ggreco, Kess",11
"Gleb, Samm734",11
"Grupo Frontera, Romeo Santos",11
"Gåte",11
"HKZ Production, Pause, Diib",11
"Hov1, Håkan Hellström",11
"Ida Paul & Kalle Lindroth, Ida Paul, Kalle Lindroth",11
"Immune, Dani Gambino, Misk",11
"JAEHYUN",11
"JKING",11
"Janek Ledecky",11
"Jokrates",11
"Josylvio, Moeman, Bokke8, Philly, KA",11
"Kevin, Jonna Fraser",11
"Kid Yugi, Tony Boy, Artie 5ive",11
"Korelon",11
"LOVV66",11
"Ledri Vula, Elvana Gjata",11
"Lijpe, Fatah",11
"Lubomír Lipský, Jirí Malát",11
"Lucry & Suena, Bonez MC, Young Dolph",11
"Lune, CÉLINE",11
"MAKSIM, Emma Heesters",11
"MD$, ibe, Ares, Elastinen",11
"Maninni",11
"Mayorkun",11
"Mel & Kim",11
"Molec, Ernesto Valenzuela",11
"Mon Laferte, Bunbury",11
"NATTI NATASHA, Tokischa",11
"Nebi, LAVV",11
"Neha Kakkar, digV, Kamla Devi",11
"Neima Ezza, Dystopic, Emis Killa",11
"Niall Horan",11
"Noorkumalasari",11
"Ogryzek",11
"Oki, @atutowy",11
"Oliver Anthony Music",11
"Ori Ben Ari",11
"Orochi, Mainstreet, MC Cabelinho, RUXN, Palma",11
"Paula Hartmann, Trettmann",11
"Rincon Morales",11
"Robin Zoot, Separ, Nik Tendo",11
"SKOFKA",11
"SNIK, Voyage, 2nd Roof",11
"Saint Pete",11
"Saran, BlackHeart, Pondering",11
"Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry",11
"Sigurður Guðmundsson, Memfismafían, Guðmundur Pálsson",11
"Soulful G",11
"T Swoop, ibe",11
"TAEYANG, Jimin",11
"TOTO",11
"Tainy, J Balvin, Young Miko, Jowell & Randy",11
"Tato el X5, Negrette Game Over, Bryant LR",11
"The Academy: Segunda Misión, Dímelo Flow, Sech, Justin Quiles, Lenny Tavárez, Dalex, NATTI NATASHA, iZaak",11
"The Lumineers",11
"Tream, Heino",11
"Two Door Cinema Club",11
"VJ, Fabe",11
"Vēstulēs",11
"YAKARY, Dardan",11
"Zinoleesky, Lekaa Beats",11
"ekhoe, Pogány Induló, VZS",11
"farid kalamity, Farid Kalamity Feat Moo sive",11
"farid kalamity, Moosive",11
"ПОЛМАТЕРИ",11
"Қанат Ерлан",11
"于冬然, 李艺皓",11
"25, Greekazo, Sweyway",10
"7ari, Ramoon",10
"ANGGA DERMAWAN",10
"Adil C",10
"Alligatoah, Fred Durst",10
"Alok, Zeeba",10
"Asake, Travis Scott",10
"BRENO MORGAN",10
"Beyoncé, Rumi Carter",10
"Birdd Luciano",10
"Birnir, Herra Hnetusmjör",10
"Blaq Major, BLESS THE GENTLEMAN, DJ KAP",10
"Blaqbonez, Black Sherif",10
"Broederliefde, $hirak",10
"Butterbro",10
"Bằng Kiều, Binz, Bùi Công Nam, Duy Khánh 周周, Thanh Duy, Thien Minh",10
"Cenderawasih",10
"Charli xcx, Lorde",10
"Chefin",10
"De Vet Du, Edvin Törnblom",10
"Dillom",10
"Dimitri Vegas & Like Mike, David Guetta, Afro Bros, Akon",10
"Eden Muñoz, Junior H",10
"Ego, Robert Burian",10
"El Alfa, Chael Produciendo",10
"Emilia, Florin Salam, Costi",10
"Emmsjé Gauti",10
"Eric Land, Tarcísio do Acordeon",10
"Exile, STOPBAN, DILBLIN",10
"Fave",10
"GONE.Fludd",10
"Gala, Molella",10
"Gleb, Fobia Kid, Dymer Surovec, Bighorse, Komander Ground, NikoZPK, Dalyb",10
"Gustavo Mioto, Manu",10
"Guy2Bezbar, SDM",10
"Heleza",10
"JJ Lin",10
"Jhayco, J Balvin, Bad Bunny",10
"João Gomes, Iguinho e Lulinha, Tarcísio do Acordeon",10
"Jr Clark, KBP EL ALIEN, Fresh Bodden, ALEMVN, Eduk Beatz",10
"Juanfran, BANDIDO, Carlos Feria, Carlos Heredia",10
"Jul, Tiakola",10
"Juninho Vitório",10
"KESI, Lamin, Benny Jamz, MAS, Kundo, Kimbo",10
"Katri Helena",10
"Kelvin Momo, Sykes",10
"Kenia OS",10
"Kenia OS, La Joaqui",10
"Kid Yugi, Geolier",10
"Kontrafakt, Mirez, Dokkeytino, Dalyb, Zayo",10
"Kryštof, Karel Gott",10
"Kukon, Brodka, Megot, Kusha, Suwal",10
"La Quinta Estacion",10
"Linkin Park",10
"Louis Villain",10
"Luigui Bleand, La Perversa",10
"Lune, Kauta",10
"Mari Vee, Upstrz",10
"Matthew Schultz",10
"Mau y Ricky, Arcángel",10
"Michel Teló, Thiaguinho",10
"Miksu / Macloud, makko",10
"Nadeem Sarwar",10
"Naps, Gazo",10
"Naya",10
"Nemzzz, Luciano",10
"Nimo, BILLA JOE",10
"Norlie & KKV",10
"Ole Ivars, Hver gang vi møtes",10
"Pan Pan, Kalliopi Mitropoulou",10
"Puppy, Dangrangto",10
"Quevedo, Myke Towers",10
"Quevedo, SAIKO",10
"RM, Youjeen",10
"Rafa Carter",10
"Raghav Chaitanya, Sachin-Jigar, Varun Jain, Indraneel",10
"Rajat Nagpal, Yasser Desai, Rana Sotal",10
"Robi, Aerozen",10
"Robi, Aerozen, Petre Stefan, NOUA UNSPE, Tussin, FLORIS",10
"SLAVA MARLOW",10
"Sajfer, Grše",10
"Sajfer, THCF",10
"Samra",10
"Seiko Matsuda",10
"Semicenk, Reynmen",10
"Shartnuss, Tr.D, Phankeo",10
"Shawn Mendes",10
"Snova",10
"Stan Walker",10
"Sushin Shyam, Dabzee",10
"Talwiinder, Vision",10
"Taylor Swift, Kendrick Lamar",10
"Ted Gärdestad",10
"The Rolling Stones",10
"Unik0, Mozbeeth",10
"VLOSPA",10
"Vale Pain, Neima Ezza",10
"Vicky Chen",10
"Vintage, TRAVMA, SKIDRI, DVRKLXGHT",10
"W Sound, Blessd, Ovy On The Drums",10
"W/N, Duongg, Nau, titie",10
"WERSOW, FRIZ",10
"Young Stunners, Talha Anjum, Talhah Yunus",10
"Yzomandias",10
"Zach Bryan, John Mayer",10
"Zeamsone, Szpaku",10
"reidenshi, Dagamon",10
"Øneheart, reidenshi, Antent",10
"AC/DC",9
"ALIKA, villemdrillem",9
"ANITA",9
"Aarne, Kai Angel, 9mice",9
